price,taxes,bathrm,lotsize,sqfeet,garage,rooms,bedrm,age,type,style,fireplac
259,492,1,3472,998,1,7,4,42,alum&frame,2.story,0
295,502,1,3531,1500,2,7,4,62,brick,2.story,0
279,454,1,2275,1175,1,6,3,40,brick&frame,2.story,0
259,456,1,4050,1232,1,6,3,54,frame,2.story,0
299,506,1,4455,1121,1,6,3,42,alum&frame,2.story,0
299,389,1,4455,988,1,6,3,56,brick&frame,2.story,0
309,590,1,5850,1240,1,7,3,51,brick&frame,2.story,1
289,560,1,9520,1501,0,6,3,32,brick,2.story,0
849,1542,2.5,9800,3420,2,10,5,42,brick&frame,2.story,1
829,1446,2.5,12800,3000,2,9,5,14,frame,2.story,1
359,583,1,6435,1225,2,6,3,32,brick,2.story,0
315,530,1,4988,1552,1,6,3,30,brick,1.5.story,0
310,627,1,5520,975,1,5,2,30,brick,1.5.story,0
309,596,1,6666,1121,2,6,3,32,brick&frame,2.story,0
300,505,1,5000,1020,0,5,2,46,frame,2.story,1
289,560,1,9520,1501,0,6,3,32,brick,2.story,0
369,825,1.5,5150,1664,2,8,4,50,frame,2.story,0
419,670,1.5,6902,1488,1.5,7,3,22,brick,2.story,1
405,778,1.5,7102,1376,1,6,3,17,brick&frame,2.story,0
439,904,1,7800,1500,1.5,7,3,23,alum&frame,ranch,0
375,599,1,5520,1256,2,6,3,40,frame,2.story,1
379,754,1.5,4000,1690,1,6,3,22,brick,2.story,0
445,880,1.5,9890,1820,2,8,4,50,brick,2.story,1
379,609,1.5,6726,1652,1,6,3,44,frame,2.story,0
389,836,1.5,9150,1777,2,8,4,48,brick,2.story,1
369,814,1,8000,1504,2,7,3,3,brick,ranch,0
458,914,1.5,7326,1831,1.5,8,4,31,frame,2.story,0
410,1200,1.5,5000,1200,2,6,3,30,alum&frame,2.story,1
